"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 01 08:34:56 GMT 2025","Tue Apr 01 08:34:56 GMT 2025","4","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 08:33:51 GMT 2025","Tue Apr 01 08:34:41 GMT 2025","50169","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"skipped","Tue Apr 01 08:34:55 GMT 2025","Tue Apr 01 08:34:55 GMT 2025","4","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
"skipped","Tue Apr 01 08:34:56 GMT 2025","Tue Apr 01 08:34:56 GMT 2025","2","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
"broken","Tue Apr 01 08:34:56 GMT 2025","Tue Apr 01 08:34:56 GMT 2025","1","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","setup","setup",""
