"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 07:29:55 GMT 2025","Tue Apr 01 07:30:45 GMT 2025","50174","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Apr 01 07:32:03 GMT 2025","Tue Apr 01 07:32:19 GMT 2025","15513","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 07:31:57 GMT 2025","Tue Apr 01 07:32:03 GMT 2025","5754","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
"passed","Tue Apr 01 07:31:33 GMT 2025","Tue Apr 01 07:31:51 GMT 2025","18105","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
