"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 07:50:37 GMT 2025","Tue Apr 01 07:50:43 GMT 2025","6145","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
"passed","Tue Apr 01 07:48:29 GMT 2025","Tue Apr 01 07:49:19 GMT 2025","50352","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Apr 01 07:50:10 GMT 2025","Tue Apr 01 07:50:31 GMT 2025","20610","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
"passed","Tue Apr 01 07:50:44 GMT 2025","Tue Apr 01 07:50:59 GMT 2025","15801","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
