"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Apr 01 08:43:47 GMT 2025","Tue Apr 01 08:43:47 GMT 2025","1","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
"broken","Tue Apr 01 08:43:48 GMT 2025","Tue Apr 01 08:43:48 GMT 2025","1","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","setup","setup",""
"broken","Tue Apr 01 08:43:48 GMT 2025","Tue Apr 01 08:43:48 GMT 2025","5","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 08:42:39 GMT 2025","Tue Apr 01 08:43:34 GMT 2025","55175","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"skipped","Tue Apr 01 08:43:48 GMT 2025","Tue Apr 01 08:43:48 GMT 2025","3","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
