"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 08:57:15 GMT 2025","Tue Apr 01 08:58:10 GMT 2025","54519","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"skipped","Tue Apr 01 08:58:23 GMT 2025","Tue Apr 01 08:58:23 GMT 2025","6","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
"broken","Tue Apr 01 08:58:23 GMT 2025","Tue Apr 01 08:58:23 GMT 2025","1","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","setup","setup",""
"broken","Tue Apr 01 08:58:23 GMT 2025","Tue Apr 01 08:58:23 GMT 2025","7","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
"skipped","Tue Apr 01 08:58:23 GMT 2025","Tue Apr 01 08:58:23 GMT 2025","1","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
