"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 05:51:51 GMT 2025","Tue Apr 01 05:52:11 GMT 2025","20226","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
"passed","Tue Apr 01 05:52:23 GMT 2025","Tue Apr 01 05:52:38 GMT 2025","14863","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 05:52:17 GMT 2025","Tue Apr 01 05:52:23 GMT 2025","5499","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
"passed","Tue Apr 01 05:50:09 GMT 2025","Tue Apr 01 05:51:03 GMT 2025","53084","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
