"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 06:51:40 GMT 2025","Tue Apr 01 06:51:54 GMT 2025","14171","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 06:51:35 GMT 2025","Tue Apr 01 06:51:40 GMT 2025","5140","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
"passed","Tue Apr 01 06:51:09 GMT 2025","Tue Apr 01 06:51:29 GMT 2025","19572","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
"passed","Tue Apr 01 06:49:32 GMT 2025","Tue Apr 01 06:50:21 GMT 2025","49573","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
