"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 01 08:30:38 GMT 2025","Tue Apr 01 08:30:38 GMT 2025","0","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","setup","setup",""
"skipped","Tue Apr 01 08:30:38 GMT 2025","Tue Apr 01 08:30:38 GMT 2025","0","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeWithoutNameTest","User should not be able to create buildType without name",""
"broken","Tue Apr 01 08:30:38 GMT 2025","Tue Apr 01 08:30:38 GMT 2025","5","Surefire suite","Surefire test","org.example.teamcity.ui.ProjectCreateTest","org.example.teamcity.ui.ProjectCreateTest","userCreatesProject","User should be able to create project",""
"skipped","Tue Apr 01 08:30:37 GMT 2025","Tue Apr 01 08:30:37 GMT 2025","1","Surefire suite","Surefire test","org.example.teamcity.ui.BuildTypeCreateTest","org.example.teamcity.ui.BuildTypeCreateTest","userCreatesBuildTypeTest","User should be able to create buildType",""
"passed","Tue Apr 01 08:29:30 GMT 2025","Tue Apr 01 08:30:24 GMT 2025","54149","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
